x,y,color
2188,534,#ff0000
2188,540,#ff0000
2188,546,#ff0000
2188,552,#7feb00
2188,558,#7feb00
2188,564,#7feb00
2187,570,#7feb00
2187,576,#7feb00
2187,582,#ff0000
2187,588,#7feb00
2187,594,#7feb00
2187,600,#ff0000
2187,606,#7feb00
2187,612,#7feb00
2186,618,#7feb00
2186,624,#7feb00
2186,630,#7feb00
2186,636,#7feb00
2186,642,#7feb00
2186,648,#7feb00
2186,654,#7feb00
2186,660,#7feb00
2186,666,#7feb00
2186,672,#7feb00
2186,678,#7feb00
2186,684,#7feb00
2185,690,#7feb00
2185,696,#7feb00
2185,702,#ff0000
2185,708,#ff0000
2185,714,#ff0000
2185,720,#ff0000
2185,726,#ff0000
2185,732,#ff0000
2185,738,#ff0000
2185,744,#ff0000
2185,750,#7feb00
2185,755,#7feb00
2185,760,#7feb00
2184,765,#7feb00
2183,769,#7feb00
2181,772,#7feb00
2179,775,#7feb00
2177,778,#7feb00
2174,780,#7feb00
2171,782,#7feb00
2168,784,#7feb00
2165,786,#7feb00
2161,786,#7feb00
2158,787,#7feb00
2154,786,#7feb00
2151,786,#7feb00
2147,784,#7feb00
2144,783,#7feb00
2141,780,#7feb00
2138,778,#006300
2136,775,#006300
2134,771,#006300
2133,768,#006300
2132,764,#006300
2133,761,#7feb00
2133,757,#006300
2134,754,#006300
2136,750,#7feb00
2139,747,#7feb00
2141,744,#7feb00
2144,742,#7feb00
2148,739,#7feb00
2151,737,#7feb00
2154,734,#7feb00
2156,730,#7feb00
2158,726,#7feb00
2159,722,#7feb00
2159,717,#7feb00
2159,713,#7feb00
2159,708,#7feb00
2159,704,#7feb00
2159,699,#7feb00
2159,694,#7feb00
2159,690,#7feb00
2159,685,#7feb00
2159,680,#7feb00
2159,675,#7feb00
2159,671,#7feb00
2159,666,#7feb00
2160,661,#7feb00
2160,656,#7feb00
2160,652,#7feb00
2160,647,#7feb00
2160,642,#7feb00
2160,637,#7feb00
2160,633,#7feb00
2160,628,#7feb00
2160,623,#7feb00
2160,618,#7feb00
2161,614,#7feb00
2161,609,#006300
2161,604,#006300
2161,599,#7feb00
2162,595,#7feb00
2162,590,#7feb00
2162,585,#7feb00
2162,580,#006300
2162,575,#006300
2161,571,#006300
2161,566,#006300
2161,561,#7feb00
2161,556,#006300
2162,552,#006300
2162,547,#006300
2162,542,#006300
2162,537,#006300
2162,532,#7feb00
2163,528,#7feb00
2163,523,#006300
2163,518,#006300
2163,513,#006300
2163,508,#006300
2163,503,#006300
2164,499,#7feb00
2164,494,#7feb00
2164,489,#006300
2164,484,#7feb00
2164,479,#006300
2164,474,#006300
2165,469,#7feb00
2165,464,#7feb00
2165,459,#7feb00
2165,454,#7feb00
2165,449,#006300
2165,444,#7feb00
2165,438,#7feb00
2165,433,#006300
2166,428,#7feb00
2166,423,#7feb00
2166,418,#006300
2166,413,#7feb00
2166,408,#006300
2166,403,#006300
2166,398,#006300
2166,392,#7feb00
2166,387,#7feb00
2166,382,#7feb00
2166,377,#7feb00
2166,372,#7feb00
2166,367,#7feb00
2166,362,#7feb00
2166,357,#7feb00
2166,352,#7feb00
2166,347,#7feb00
2166,341,#7feb00
2166,336,#7feb00
2166,331,#7feb00
2167,326,#7feb00
2167,321,#7feb00
2167,316,#7feb00
2167,311,#7feb00
2167,306,#7feb00
2167,301,#7feb00
2167,295,#7feb00
2167,290,#7feb00
2167,285,#7feb00
2167,280,#7feb00
2168,275,#7feb00
2168,270,#7feb00
2168,264,#7feb00
2168,259,#7feb00
2168,254,#7feb00
2168,249,#7feb00
2168,244,#7feb00
2168,239,#7feb00
2168,233,#7feb00
2168,228,#7feb00
2168,223,#7feb00
2168,218,#7feb00
2168,213,#7feb00
2168,208,#7feb00
2168,203,#7feb00
2168,198,#7feb00
2169,192,#7feb00
2169,187,#7feb00
2169,182,#7feb00
2169,177,#006300
2169,172,#7feb00
2169,167,#7feb00
2168,162,#7feb00
2168,157,#7feb00
2168,152,#006300
2168,148,#006300
2167,144,#7feb00
2167,139,#7feb00
2166,135,#006300
2166,130,#7feb00
2165,126,#7feb00
2164,122,#7feb00
2164,117,#7feb00
2163,113,#7feb00
2162,109,#7feb00
2161,104,#7feb00
2160,100,#7feb00
2158,96,#7feb00
2157,91,#7feb00
2156,87,#ff0000
2155,83,#ff0000
2154,78,#ff0000
2153,74,#ff0000
2153,69,#ff0000
2153,65,#ff0000
2153,60,#ff0000
2154,56,#ff0000
2155,51,#ff0000
2157,47,#ff0000
2159,44,#ff0000
2161,40,#ff0000
2163,37,#ff0000
2164,33,#ff0000
2165,30,#ff0000
2165,29,#ff0000
2164,32,#ff0000
2145,40,#ff0000
2141,39,#7feb00
2138,38,#7feb00
2134,37,#7feb00
2130,37,#ff0000
2126,37,#ff0000
2121,37,#7feb00
2117,37,#ff0000
2112,37,#7feb00
2107,37,#7feb00
2101,37,#ff0000
2096,37,#7feb00
2091,37,#7feb00
2086,37,#7feb00
2080,37,#7feb00
2075,36,#7feb00
2070,36,#7feb00
2064,36,#7feb00
2059,36,#7feb00
2053,36,#7feb00
2048,36,#ff0000
2042,36,#7feb00
2036,36,#7feb00
2031,36,#ff0000
2025,36,#ff0000
2019,36,#ff0000
2012,36,#ff0000
2006,36,#ff0000
2000,36,#ff0000
1994,36,#ff0000
1988,36,#ff0000
1982,36,#ff0000
1975,36,#ff0000
1969,36,#ff0000
1963,36,#ff0000
1957,36,#ff0000
1951,36,#ff0000
1945,36,#ff0000
1940,36,#ff0000
1934,36,#ff0000
1929,36,#ff0000
1923,36,#ff0000
1918,36,#ff0000
1913,36,#ff0000
1908,36,#ff0000
1904,36,#ff0000
1898,36,#ff0000
1893,36,#ff0000
1887,36,#ff0000
1882,36,#ff0000
1877,35,#ff0000
1871,35,#ff0000
1866,35,#ff0000
1860,35,#ff0000
1855,35,#ff0000
1849,35,#ff0000
1844,35,#ff0000
1839,34,#ff0000
1833,34,#ff0000
1828,34,#ff0000
1823,33,#ff0000
1818,33,#ff0000
1814,32,#ff0000
1809,32,#ff0000
1805,31,#ff0000
1800,31,#ff0000
1796,30,#ff0000
1791,30,#ff0000
1786,30,#ff0000
1782,30,#ff0000
1777,30,#ff0000
1773,30,#ff0000
1768,30,#ff0000
1763,30,#ff0000
1758,30,#ff0000
1754,30,#ff0000
1749,30,#ff0000
1745,30,#ff0000
1741,30,#ff0000
1736,30,#ff0000
1732,30,#ff0000
1728,31,#7feb00
1726,31,#7feb00
1729,31,#006300
1731,31,#7feb00
1728,31,#7feb00
1720,30,#ff0000
1717,30,#ff0000
1713,30,#7feb00
1709,30,#7feb00
1705,30,#7feb00
1701,30,#7feb00
1696,29,#7feb00
1692,29,#ff0000
1688,29,#ff0000
1684,29,#7feb00
1680,29,#7feb00
1676,29,#7feb00
1671,29,#7feb00
1667,29,#7feb00
1665,29,#7feb00
1662,29,#ff0000
1660,29,#7feb00
1657,29,#7feb00
1653,29,#7feb00
1650,29,#7feb00
1647,29,#ff0000
1644,29,#7feb00
1640,29,#ff0000
1637,29,#ff0000
1633,28,#ff0000
1629,28,#ff0000
1625,28,#ff0000
1620,28,#ff0000
1616,28,#ff0000
1612,28,#ff0000
1608,28,#ff0000
1604,28,#ff0000
1600,28,#ff0000
1595,28,#ff0000
1591,27,#ff0000
1587,27,#ff0000
1582,27,#ff0000
1578,27,#ff0000
1573,27,#ff0000
1569,27,#ff0000
1564,27,#ff0000
1560,27,#ff0000
1555,27,#ff0000
1551,27,#ff0000
1546,27,#ff0000
1541,27,#ff0000
1537,27,#ff0000
1532,27,#ff0000
1527,26,#ff0000
1523,26,#ff0000
1518,25,#ff0000
1514,25,#ff0000
1509,25,#ff0000
1504,24,#ff0000
1500,24,#ff0000
1495,24,#ff0000
1491,23,#ff0000
1486,23,#ff0000
1481,23,#ff0000
1477,23,#ff0000
1472,23,#ff0000
1467,23,#ff0000
1463,24,#ff0000
1458,23,#ff0000
1454,23,#7feb00
1449,23,#ff0000
1444,22,#ff0000
1440,22,#7feb00
1435,23,#ff0000
1431,23,#7feb00
1426,23,#7feb00
1421,23,#7feb00
1417,23,#7feb00
1412,23,#7feb00
1407,23,#ff0000
1403,22,#ff0000
1398,22,#7feb00
1394,22,#ff0000
1389,22,#ff0000
1384,22,#ff0000
1380,22,#7feb00
1375,22,#ff0000
1370,22,#7feb00
1365,23,#ff0000
1361,23,#ff0000
1356,23,#7feb00
1351,23,#ff0000
1347,23,#ff0000
1342,23,#7feb00
1337,22,#7feb00
1332,22,#ff0000
1328,23,#7feb00
1323,23,#7feb00
1318,22,#ff0000
1313,22,#7feb00
1308,22,#7feb00
1303,22,#7feb00
1298,22,#ff0000
1293,21,#7feb00
1288,21,#7feb00
1283,21,#7feb00
1278,21,#7feb00
1273,21,#7feb00
1268,20,#ff0000
1263,20,#ff0000
1258,20,#7feb00
1253,20,#7feb00
1248,20,#7feb00
1243,20,#7feb00
1238,20,#7feb00
1233,20,#7feb00
1228,20,#7feb00
1222,20,#7feb00
1217,20,#7feb00
1212,19,#7feb00
1207,19,#7feb00
1202,18,#7feb00
1197,18,#7feb00
1191,18,#7feb00
1186,17,#7feb00
1181,17,#7feb00
1176,17,#7feb00
1171,17,#7feb00
1165,17,#7feb00
1160,17,#ff0000
1155,16,#7feb00
1150,16,#7feb00
1144,16,#ff0000
1139,15,#ff0000
1134,15,#ff0000
1128,15,#ff0000
1123,15,#7feb00
1118,14,#ff0000
1112,14,#ff0000
1106,14,#ff0000
1101,14,#ff0000
1095,14,#ff0000
1089,14,#ff0000
1084,14,#ff0000
1078,14,#ff0000
1072,14,#ff0000
1066,14,#ff0000
1061,14,#ff0000
1055,15,#ff0000
1049,15,#ff0000
1043,15,#ff0000
1038,15,#ff0000
1032,15,#7feb00
1026,15,#ff0000
1021,15,#ff0000
1015,15,#ff0000
1010,15,#ff0000
1005,16,#ff0000
1000,16,#ff0000
995,16,#ff0000
990,16,#ff0000
985,16,#7feb00
980,16,#7feb00
975,16,#7feb00
970,16,#ff0000
965,16,#ff0000
960,16,#ff0000
955,16,#ff0000
950,16,#ff0000
945,16,#ff0000
940,16,#ff0000
935,15,#ff0000
930,15,#ff0000
925,15,#ff0000
920,15,#ff0000
915,15,#ff0000
910,15,#ff0000
905,15,#7feb00
901,15,#7feb00
896,15,#ff0000
891,15,#7feb00
886,15,#ff0000
881,14,#7feb00
876,14,#7feb00
871,14,#7feb00
866,14,#ff0000
861,14,#7feb00
856,14,#ff0000
851,14,#ff0000
846,14,#ff0000
841,13,#ff0000
836,13,#ff0000
831,13,#ff0000
826,13,#ff0000
